UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,INTERVAL_MS,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_FUNDING_RATE_UPDATES
HOUR,2025-09-03 06:00:00,227,dydxv4,BTC-USD,3600000,3.5e-06,3.5e-06,1.125e-06,1.125e-06,1756879200.0,1756879200.0,1.125e-06,1.125e-06,1756879200.0,1.125e-06,1756879200.0,1.125e-06,1
HOUR,2025-09-03 07:00:00,227,dydxv4,BTC-USD,3600000,1.125e-06,1.125e-06,1.125e-06,1.125e-06,,,,,,,,,0
HOUR,2025-09-03 08:00:00,227,dydxv4,BTC-USD,3600000,1.125e-06,6.625e-06,1.125e-06,6.625e-06,1756886400.0,1756886400.0,6.625e-06,6.625e-06,1756886400.0,6.625e-06,1756886400.0,6.625e-06,1
HOUR,2025-09-03 09:00:00,227,dydxv4,BTC-USD,3600000,6.625e-06,6.625e-06,2.5e-06,2.5e-06,1756890000.0,1756890000.0,2.5e-06,2.5e-06,1756890000.0,2.5e-06,1756890000.0,2.5e-06,1
HOUR,2025-09-03 10:00:00,227,dydxv4,BTC-USD,3600000,2.5e-06,6.625e-06,2.5e-06,6.625e-06,1756893600.0,1756893600.0,6.625e-06,6.625e-06,1756893600.0,6.625e-06,1756893600.0,6.625e-06,1
HOUR,2025-09-03 11:00:00,227,dydxv4,BTC-USD,3600000,6.625e-06,6.625e-06,-3.625e-06,-3.625e-06,1756897200.0,1756897200.0,-3.625e-06,-3.625e-06,1756897200.0,-3.625e-06,1756897200.0,-3.625e-06,1
HOUR,2025-09-03 12:00:00,227,dydxv4,BTC-USD,3600000,-3.625e-06,-2.5e-07,-3.625e-06,-2.5e-07,1756900800.0,1756900800.0,-2.5e-07,-2.5e-07,1756900800.0,-2.5e-07,1756900800.0,-2.5e-07,1
HOUR,2025-09-03 13:00:00,227,dydxv4,BTC-USD,3600000,-2.5e-07,7.5e-07,-2.5e-07,7.5e-07,1756904400.0,1756904400.0,7.5e-07,7.5e-07,1756904400.0,7.5e-07,1756904400.0,7.5e-07,1
HOUR,2025-09-03 14:00:00,227,dydxv4,BTC-USD,3600000,7.5e-07,7.5e-07,-1.375e-06,-1.375e-06,1756908000.0,1756908000.0,-1.375e-06,-1.375e-06,1756908000.0,-1.375e-06,1756908000.0,-1.375e-06,1
HOUR,2025-09-03 15:00:00,227,dydxv4,BTC-USD,3600000,-1.375e-06,1.025e-05,-1.375e-06,1.025e-05,1756911600.0,1756911600.0,1.025e-05,1.025e-05,1756911600.0,1.025e-05,1756911600.0,1.025e-05,1
HOUR,2025-09-03 16:00:00,227,dydxv4,BTC-USD,3600000,1.025e-05,1.025e-05,5.5e-06,5.5e-06,1756915200.0,1756915200.0,5.5e-06,5.5e-06,1756915200.0,5.5e-06,1756915200.0,5.5e-06,1
HOUR,2025-09-03 17:00:00,227,dydxv4,BTC-USD,3600000,5.5e-06,5.5e-06,4.125e-06,4.125e-06,1756918800.0,1756918800.0,4.125e-06,4.125e-06,1756918800.0,4.125e-06,1756918800.0,4.125e-06,1
HOUR,2025-09-03 18:00:00,227,dydxv4,BTC-USD,3600000,4.125e-06,8.875e-06,4.125e-06,8.875e-06,1756922401.0,1756922401.0,8.875e-06,8.875e-06,1756922401.0,8.875e-06,1756922401.0,8.875e-06,1
HOUR,2025-09-03 19:00:00,227,dydxv4,BTC-USD,3600000,8.875e-06,1.9375e-05,8.875e-06,1.9375e-05,1756926000.0,1756926000.0,1.9375e-05,1.9375e-05,1756926000.0,1.9375e-05,1756926000.0,1.9375e-05,1
HOUR,2025-09-03 20:00:00,227,dydxv4,BTC-USD,3600000,1.9375e-05,1.9375e-05,1.0375e-05,1.0375e-05,1756929600.0,1756929600.0,1.0375e-05,1.0375e-05,1756929600.0,1.0375e-05,1756929600.0,1.0375e-05,1
HOUR,2025-09-03 21:00:00,227,dydxv4,BTC-USD,3600000,1.0375e-05,1.0375e-05,0.0,0.0,1756933200.0,1756933200.0,0.0,0.0,1756933200.0,0.0,1756933200.0,0.0,1
HOUR,2025-09-03 22:00:00,227,dydxv4,BTC-USD,3600000,0.0,0.0,-5.125e-06,-5.125e-06,1756936800.0,1756936800.0,-5.125e-06,-5.125e-06,1756936800.0,-5.125e-06,1756936800.0,-5.125e-06,1
HOUR,2025-09-03 23:00:00,227,dydxv4,BTC-USD,3600000,-5.125e-06,5.125e-06,-5.125e-06,5.125e-06,1756940400.0,1756940400.0,5.125e-06,5.125e-06,1756940400.0,5.125e-06,1756940400.0,5.125e-06,1
HOUR,2025-09-04 00:00:00,227,dydxv4,BTC-USD,3600000,5.125e-06,5.125e-06,4.25e-06,4.25e-06,1756944000.0,1756944000.0,4.25e-06,4.25e-06,1756944000.0,4.25e-06,1756944000.0,4.25e-06,1
HOUR,2025-09-04 01:00:00,227,dydxv4,BTC-USD,3600000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,,,,,,,,,0
HOUR,2025-09-04 02:00:00,227,dydxv4,BTC-USD,3600000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,,,,,,,,,0
HOUR,2025-09-04 03:00:00,227,dydxv4,BTC-USD,3600000,4.25e-06,4.25e-06,3e-06,3e-06,1756954800.0,1756954800.0,3e-06,3e-06,1756954800.0,3e-06,1756954800.0,3e-06,1
HOUR,2025-09-04 04:00:00,227,dydxv4,BTC-USD,3600000,3e-06,3e-06,3.75e-07,3.75e-07,1756958400.0,1756958400.0,3.75e-07,3.75e-07,1756958400.0,3.75e-07,1756958400.0,3.75e-07,1
HOUR,2025-09-04 05:00:00,227,dydxv4,BTC-USD,3600000,3.75e-07,5e-06,3.75e-07,5e-06,1756962001.0,1756962001.0,5e-06,5e-06,1756962001.0,5e-06,1756962001.0,5e-06,1
HOUR,2025-09-04 06:00:00,227,dydxv4,BTC-USD,3600000,5e-06,7.375e-06,5e-06,7.375e-06,1756965600.0,1756965600.0,7.375e-06,7.375e-06,1756965600.0,7.375e-06,1756965600.0,7.375e-06,1
HOUR,2025-09-04 07:00:00,227,dydxv4,BTC-USD,3600000,7.375e-06,1.0875e-05,7.375e-06,1.0875e-05,1756969200.0,1756969200.0,1.0875e-05,1.0875e-05,1756969200.0,1.0875e-05,1756969200.0,1.0875e-05,1
HOUR,2025-09-04 08:00:00,227,dydxv4,BTC-USD,3600000,1.0875e-05,2.2375e-05,1.0875e-05,2.2375e-05,1756972800.0,1756972800.0,2.2375e-05,2.2375e-05,1756972800.0,2.2375e-05,1756972800.0,2.2375e-05,1
HOUR,2025-09-04 09:00:00,227,dydxv4,BTC-USD,3600000,2.2375e-05,2.2375e-05,1.625e-05,1.625e-05,1756976400.0,1756976400.0,1.625e-05,1.625e-05,1756976400.0,1.625e-05,1756976400.0,1.625e-05,1
HOUR,2025-09-04 10:00:00,227,dydxv4,BTC-USD,3600000,1.625e-05,1.625e-05,1.625e-05,1.625e-05,,,,,,,,,0
HOUR,2025-09-04 11:00:00,227,dydxv4,BTC-USD,3600000,1.625e-05,1.625e-05,5.375e-06,5.375e-06,1756983600.0,1756983600.0,5.375e-06,5.375e-06,1756983600.0,5.375e-06,1756983600.0,5.375e-06,1
HOUR,2025-09-04 12:00:00,227,dydxv4,BTC-USD,3600000,5.375e-06,5.375e-06,1e-06,1e-06,1756987200.0,1756987200.0,1e-06,1e-06,1756987200.0,1e-06,1756987200.0,1e-06,1
HOUR,2025-09-04 13:00:00,227,dydxv4,BTC-USD,3600000,1e-06,3.375e-06,1e-06,3.375e-06,1756990800.0,1756990800.0,3.375e-06,3.375e-06,1756990800.0,3.375e-06,1756990800.0,3.375e-06,1
HOUR,2025-09-04 14:00:00,227,dydxv4,BTC-USD,3600000,3.375e-06,3.375e-06,0.0,0.0,1756994400.0,1756994400.0,0.0,0.0,1756994400.0,0.0,1756994400.0,0.0,1
HOUR,2025-09-04 15:00:00,227,dydxv4,BTC-USD,3600000,0.0,2.65e-05,0.0,2.65e-05,1756998000.0,1756998000.0,2.65e-05,2.65e-05,1756998000.0,2.65e-05,1756998000.0,2.65e-05,1
