UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2025-05-11 10:00:00,707,binance,BTCUSDT,104347.94,104668.36,104193.66,104644.0,1746957600,1746961199,104347.93,104668.36,1746961197,104193.66,1746958713,104644.0,72039,37808,34231,0,670.87671,70060483.0841486,354.5715,37034694.0012529,316.30521,33025789.0828957,0,0
HOUR,2025-05-11 11:00:00,707,binance,BTCUSDT,104644.0,104777.0,104351.27,104652.01,1746961200,1746964799,104644.0,104777.0,1746961375,104351.27,1746962814,104652.01,84946,39415,45531,0,611.74101,63953646.7147775,271.06754,28342687.5918986,340.67347,35610959.1228789,0,0
HOUR,2025-05-11 12:00:00,707,binance,BTCUSDT,104652.01,104888.0,104525.23,104601.9,1746964800,1746968399,104652.01,104888.0,1746965353,104525.23,1746967408,104601.9,110273,45787,64486,0,931.71158,97583622.7132202,487.77945,51089194.7699985,443.93213,46494427.9432217,0,0
HOUR,2025-05-11 13:00:00,707,binance,BTCUSDT,104601.9,104666.67,103934.18,103959.99,1746968400,1746971999,104601.89,104666.67,1746969001,103934.18,1746971986,103959.99,147594,57811,89783,0,1100.33042,114774277.83664,419.14569,43741052.461415,681.18473,71033225.3751907,0,0
HOUR,2025-05-11 14:00:00,707,binance,BTCUSDT,103959.99,104290.97,103775.91,104160.0,1746972000,1746975599,103959.99,104290.97,1746974896,103775.91,1746972975,104160.0,177379,102991,74388,0,1491.16287,155108927.421292,688.68893,71654637.074549,802.47394,83454290.3467242,0,0
HOUR,2025-05-11 15:00:00,707,binance,BTCUSDT,104160.0,104682.54,103911.61,104150.0,1746975600,1746979199,104160.0,104682.54,1746976738,103911.61,1746978893,104150.0,167194,89231,77963,0,977.30807,101897098.844304,567.35521,59175369.0362894,409.95286,42721729.8080075,0,0
HOUR,2025-05-11 16:00:00,707,binance,BTCUSDT,104150.0,104176.0,103750.0,103984.13,1746979200,1746982799,104150.0,104176.0,1746979264,103750.0,1746980346,103984.13,148110,74534,73576,0,700.09107,72785223.0668077,261.79485,27218009.0464146,438.29622,45567214.0203931,0,0
HOUR,2025-05-11 17:00:00,707,binance,BTCUSDT,103984.13,104148.93,103793.65,104036.7,1746982800,1746986397,103984.12,104148.93,1746984087,103793.65,1746984303,104036.7,108422,59095,49327,0,446.02668,46371450.8044774,232.75609,24197339.8134979,213.27059,22174110.9909795,0,0
HOUR,2025-05-11 18:00:00,707,binance,BTCUSDT,104036.7,104832.82,103857.14,104528.19,1746986400,1746989999,104036.7,104832.82,1746989488,103857.14,1746988367,104528.19,138377,78163,60214,0,748.08883,78093965.0658773,469.5954,49022555.0327481,278.49343,29071410.0331292,0,0
HOUR,2025-05-11 19:00:00,707,binance,BTCUSDT,104528.19,104650.8,104354.67,104420.0,1746990000,1746993599,104528.19,104650.8,1746990693,104354.67,1746993384,104420.0,101213,58113,43100,0,417.96581,43684203.0659698,209.02994,21847734.6959411,208.93587,21836468.3700287,0,0
