UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,NUMBER_OF_CONTRACTS,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2024-11-01 12:00:00,207,binance,BTCUSDT,70024.8,70487.8,69905.7,70360.7,1730462400,1730465999,70024.7,70487.8,1730465284,69905.7,1730464272,70360.7,212510,109010,103500,0,15661949,15661.949,1099765096.151,7902.487,555035678.4269,7759.462,544729417.7241,0,0
HOUR,2024-11-01 13:00:00,207,binance,BTCUSDT,70360.7,71249.6,70139.9,71213.2,1730466000,1730469599,70360.6,71249.6,1730469579,70139.9,1730466674,71213.2,318105,169555,148550,0,28320396,28320.396,2002782949.8957,15582.483,1102266707.9041,12737.913,900516241.9916,0,0
HOUR,2024-11-01 14:00:00,207,binance,BTCUSDT,71213.2,71650.0,70913.0,71273.4,1730469600,1730473199,71213.2,71650.0,1730471427,70913.0,1730472816,71273.4,428351,200230,228121,0,37112383,37112.383,2646018803.3355,17961.526,1280958945.5421,19150.857,1365059857.7934,0,0
HOUR,2024-11-01 15:00:00,207,binance,BTCUSDT,71273.4,71365.8,69036.0,69381.0,1730473200,1730476799,71273.5,71365.8,1730473234,69036.0,1730476310,69381.0,552788,260252,292536,0,51330326,51330.326,3595927961.5652,22449.95,1571728005.1736,28880.376,2024199956.3916,0,0
HOUR,2024-11-01 16:00:00,207,binance,BTCUSDT,69381.0,70543.3,69351.0,69931.0,1730476800,1730480399,69381.1,70543.3,1730477979,69351.0,1730476808,69931.0,370422,185805,184617,0,30645508,30645.508,2145638139.8373,15797.347,1105836331.2718,14848.161,1039801808.5655,0,0
HOUR,2024-11-01 17:00:00,207,binance,BTCUSDT,69931.0,70209.2,69471.1,69584.0,1730480400,1730483999,69931.0,70209.2,1730481412,69471.1,1730480940,69584.0,262077,127686,134391,0,20194819,20194.819,1409821048.576,9641.389,673286675.7737,10553.43,736534372.8023,0,0
HOUR,2024-11-01 18:00:00,207,binance,BTCUSDT,69584.0,69653.8,69090.0,69175.5,1730484000,1730487599,69584.1,69653.8,1730484132,69090.0,1730487396,69175.5,189026,92317,96709,0,12012830,12012.83,833375998.4346,5782.754,401282547.9508,6230.076,432093450.4838,0,0
HOUR,2024-11-01 19:00:00,207,binance,BTCUSDT,69175.5,69472.0,68822.5,69278.6,1730487600,1730491199,69175.4,69472.0,1730489894,68822.5,1730488459,69278.6,263321,133917,129404,0,19088738,19088.738,1319515551.4864,9371.152,647969817.8237,9717.586,671545733.6627,0,0
HOUR,2024-11-01 20:00:00,207,binance,BTCUSDT,69278.6,69471.2,69175.1,69259.0,1730491200,1730494799,69278.6,69471.2,1730493300,69175.1,1730494492,69259.0,92179,44526,47653,0,5687230,5687.23,394263571.0638,2745.528,190339135.2982,2941.702,203924435.7656,0,0
HOUR,2024-11-01 21:00:00,207,binance,BTCUSDT,69259.0,69363.9,68856.3,69275.7,1730494800,1730498399,69258.9,69363.9,1730495469,68856.3,1730497052,69275.7,113337,58474,54863,0,7235956,7235.956,499915552.9314,3487.998,241007161.3939,3747.958,258908391.5375,0,0
HOUR,2024-11-01 22:00:00,207,binance,BTCUSDT,69275.7,69461.5,69240.1,69441.2,1730498400,1730501999,69275.7,69461.5,1730501218,69240.1,1730499764,69441.2,79629,40549,39080,0,4128246,4128.246,286331030.3446,1939.895,134563425.5295,2188.351,151767604.8151,0,0
HOUR,2024-11-01 23:00:00,207,binance,BTCUSDT,69441.2,69634.9,69362.6,69495.5,1730502000,1730505599,69441.2,69634.9,1730502968,69362.6,1730502154,69495.5,62763,32068,30695,0,3763952,3763.952,261666977.5398,1942.614,135064007.4583,1821.338,126602970.0815,0,0
HOUR,2024-11-02 00:00:00,207,binance,BTCUSDT,69495.5,69686.1,69480.8,69671.4,1730505603,1730509199,69495.4,69686.1,1730509093,69480.8,1730505786,69671.4,63993,34718,29275,0,3924494,3924.494,273149837.7709,2137.392,148763711.628,1787.102,124386126.1429,0,0
HOUR,2024-11-02 01:00:00,207,binance,BTCUSDT,69671.4,69700.0,69504.9,69669.0,1730509200,1730512799,69671.4,69700.0,1730509282,69504.9,1730510465,69669.0,47231,22987,24244,0,2183889,2183.889,152026743.0011,1020.632,71059304.4363,1163.257,80967438.5648,0,0
HOUR,2024-11-02 02:00:00,207,binance,BTCUSDT,69669.0,69913.1,69659.0,69659.0,1730512800,1730516399,69669.0,69913.1,1730514560,69659.0,1730516399,69659.0,69608,35608,34000,0,4550027,4550.027,317555916.1833,2559.978,178679405.9396,1990.049,138876510.2437,0,0
HOUR,2024-11-02 03:00:00,207,binance,BTCUSDT,69659.0,69788.9,69562.5,69599.9,1730516400,1730519999,69659.0,69788.9,1730516990,69562.5,1730519877,69599.9,50486,22271,28215,0,2671322,2671.322,186127269.3446,1230.365,85740553.0437,1440.957,100386716.3009,0,0
HOUR,2024-11-02 04:00:00,207,binance,BTCUSDT,69599.9,69630.0,69472.8,69570.0,1730520001,1730523599,69599.9,69630.0,1730521147,69472.8,1730522567,69570.0,45674,20009,25665,0,2585399,2585.399,179767252.3867,1100.507,76525468.2363,1484.892,103241784.1504,0,0
HOUR,2024-11-02 05:00:00,207,binance,BTCUSDT,69570.0,69736.8,69450.0,69712.6,1730523600,1730527199,69570.0,69736.8,1730526529,69450.0,1730524018,69712.6,48918,26477,22441,0,2652698,2652.698,184637597.6385,1504.656,104743806.5065,1148.042,79893791.132,0,0
HOUR,2024-11-02 06:00:00,207,binance,BTCUSDT,69712.6,69752.0,69578.5,69752.0,1730527200,1730530799,69712.6,69752.0,1730530799,69578.5,1730528408,69752.0,37941,18643,19298,0,1806724,1806.724,125873047.2725,963.25,67120719.1466,843.474,58752328.1259,0,0
HOUR,2024-11-02 07:00:00,207,binance,BTCUSDT,69752.0,69822.5,69677.0,69813.1,1730530800,1730534399,69752.0,69822.5,1730534343,69677.0,1730532714,69813.1,43833,22137,21696,0,2323617,2323.617,162094055.6852,1210.134,84422516.6179,1113.483,77671539.0673,0,0
HOUR,2024-11-02 08:00:00,207,binance,BTCUSDT,69813.1,69846.2,69568.5,69625.8,1730534404,1730537999,69813.0,69846.2,1730534581,69568.5,1730536778,69625.8,47162,17518,29644,0,2532954,2532.954,176537111.9859,884.993,61680994.9849,1647.961,114856117.001,0,0
HOUR,2024-11-02 09:00:00,207,binance,BTCUSDT,69625.8,69672.0,69509.6,69558.4,1730538000,1730541599,69625.7,69672.0,1730540789,69509.6,1730541213,69558.4,44018,21789,22229,0,1917705,1917.705,133457867.9231,890.905,62009545.4969,1026.8,71448322.4262,0,0
HOUR,2024-11-02 10:00:00,207,binance,BTCUSDT,69558.4,69632.9,69413.0,69623.6,1730541600,1730545199,69558.5,69632.9,1730544979,69413.0,1730543592,69623.6,58947,30505,28442,0,3390952,3390.952,235702240.4593,1834.201,127501992.2588,1556.751,108200248.2005,0,0
HOUR,2024-11-02 11:00:00,207,binance,BTCUSDT,69623.6,69704.0,69562.7,69602.5,1730545200,1730548799,69623.6,69704.0,1730548124,69562.7,1730548673,69602.5,36987,17832,19155,0,1976398,1976.398,137609347.2964,1019.633,70998470.2839,956.765,66610877.0125,0,0
HOUR,2024-11-02 12:00:00,207,binance,BTCUSDT,69602.5,69678.7,69375.0,69452.8,1730548801,1730552399,69602.6,69678.7,1730549102,69375.0,1730552348,69452.8,77267,34553,42714,0,4335943,4335.943,301380087.4486,2023.306,140636015.6936,2312.637,160744071.755,0,0
HOUR,2024-11-02 13:00:00,207,binance,BTCUSDT,69452.8,69700.0,69353.0,69359.9,1730552400,1730555999,69452.9,69700.0,1730554075,69353.0,1730555991,69359.9,102213,50126,52087,0,6112348,6112.348,424850313.2568,2788.121,193813060.3568,3324.227,231037252.9,0,0
HOUR,2024-11-02 14:00:00,207,binance,BTCUSDT,69359.9,69434.8,69022.8,69270.0,1730556000,1730559599,69360.0,69434.8,1730556067,69022.8,1730559092,69270.0,156978,78628,78350,0,10294093,10294.093,712504308.2633,5060.517,350274796.7777,5233.576,362229511.4856,0,0
HOUR,2024-11-02 15:00:00,207,binance,BTCUSDT,69270.0,69447.3,69133.9,69394.0,1730559600,1730563199,69269.9,69447.3,1730561539,69133.9,1730560333,69394.0,88398,45267,43131,0,4837710,4837.71,335295950.9035,2453.507,170037367.1939,2384.203,165258583.7096,0,0
HOUR,2024-11-02 16:00:00,207,binance,BTCUSDT,69394.0,69610.9,69315.9,69585.0,1730563204,1730566799,69393.9,69610.9,1730566270,69315.9,1730564373,69585.0,73505,38288,35217,0,4422582,4422.582,307306025.8187,2367.007,164506571.5898,2055.575,142799454.2289,0,0
HOUR,2024-11-02 17:00:00,207,binance,BTCUSDT,69585.0,69599.0,69333.0,69401.0,1730566800,1730570399,69585.1,69599.0,1730566881,69333.0,1730569480,69401.0,53071,22475,30596,0,3213866,3213.866,223173841.9697,1364.611,94755665.0295,1849.255,128418176.9402,0,0
HOUR,2024-11-02 18:00:00,207,binance,BTCUSDT,69401.0,69485.0,69221.6,69421.2,1730570400,1730573999,69401.0,69485.0,1730573805,69221.6,1730571030,69421.2,57927,29880,28047,0,2814100,2814.1,195189975.5728,1387.237,96225714.7259,1426.863,98964260.8469,0,0
HOUR,2024-11-02 19:00:00,207,binance,BTCUSDT,69421.2,69560.0,69380.4,69502.6,1730574000,1730577599,69421.2,69560.0,1730576988,69380.4,1730574103,69502.6,32923,17857,15066,0,1455373,1455.373,101131812.7448,865.734,60161911.1544,589.639,40969901.5904,0,0
HOUR,2024-11-02 20:00:00,207,binance,BTCUSDT,69502.6,69570.0,69459.1,69543.2,1730577601,1730581199,69502.5,69570.0,1730580604,69459.1,1730577974,69543.2,31215,14197,17018,0,1284324,1284.324,89287531.9032,589.667,40997177.115,694.657,48290354.7882,0,0
HOUR,2024-11-02 21:00:00,207,binance,BTCUSDT,69543.2,69560.0,69436.6,69436.7,1730581200,1730584798,69543.1,69560.0,1730581237,69436.6,1730584798,69436.7,22108,10647,11461,0,1061923,1061.923,73771882.7767,429.48,29836962.1344,632.443,43934920.6423,0,0
HOUR,2024-11-02 22:00:00,207,binance,BTCUSDT,69436.7,69554.1,69365.2,69426.1,1730584800,1730588399,69436.7,69554.1,1730585415,69365.2,1730585052,69426.1,32292,16320,15972,0,1431132,1431.132,99415203.9547,705.618,49022087.9408,725.514,50393116.0139,0,0
HOUR,2024-11-02 23:00:00,207,binance,BTCUSDT,69426.1,69444.8,69150.1,69366.6,1730588400,1730591999,69426.0,69444.8,1730588485,69150.1,1730590114,69366.6,68309,32506,35803,0,4997823,4997.823,346117513.4723,1910.92,132320726.1896,3086.903,213796787.2827,0,0
HOUR,2024-11-03 00:00:00,207,binance,BTCUSDT,69366.6,69393.7,69151.8,69156.1,1730592004,1730595599,69366.6,69393.7,1730592790,69151.8,1730595554,69156.1,51403,24504,26899,0,2583126,2583.126,178936886.265,1282.597,88860101.7366,1300.529,90076784.5284,0,0
HOUR,2024-11-03 01:00:00,207,binance,BTCUSDT,69156.1,69223.3,68991.2,69009.4,1730595600,1730599199,69156.1,69223.3,1730598706,68991.2,1730596767,69009.4,90951,45900,45051,0,6116706,6116.706,422632774.706,3085.954,213267418.4495,3030.752,209365356.2565,0,0
HOUR,2024-11-03 02:00:00,207,binance,BTCUSDT,69009.4,69027.4,67846.0,68200.1,1730599200,1730602799,69009.3,69027.4,1730599218,67846.0,1730601787,68200.1,417688,197683,220005,0,35957808,35957.808,2457467332.5786,14989.294,1024011313.1667,20968.514,1433456019.4119,0,0
